Year,Month,Day,Temperature
2017,2,13,-9.95
2017,2,14,-7.269
2017,2,15,-7.293
2017,2,16,-7.939
2017,2,17,-4.123
2017,2,18,-0.874
2017,2,19,-17.32
2017,2,20,-15.55
2017,2,21,-12.24
2017,2,22,-14.04
2017,2,23,-10.65
2017,2,24,-9.16
2017,2,25,-9.85
2017,2,26,-15.41
2017,2,27,-7.894
2017,2,28,-7.383
2017,3,1,-7.292
2017,3,2,-8.95
2017,3,3,-12.86
2017,3,4,-12.53
2017,3,5,-11.21
2017,3,6,-10.83
2017,3,7,-14.32
2017,3,8,-15.44
2017,3,9,-14.22
2017,3,10,-14.91
2017,3,11,-15.04
2017,3,12,-16.98
2017,3,13,-13.95
2017,3,14,-17.32
2017,3,15,-13.35
2017,3,16,-9.07
2017,3,17,-11.88
2017,3,18,-13.31
2017,3,19,-9.74
2017,3,20,-9.21
2017,3,21,-4.837
2017,3,22,-3.339
2017,3,23,-2.036
2017,3,24,-3.931
2017,3,25,-1.572
2017,3,26,0.589
2017,3,27,-4.743
2017,3,28,-5.923
2017,3,29,-1.597
2017,3,30,-0.718
2017,3,31,-5.321
2017,4,1,-5.583
2017,4,2,-3.978
2017,4,3,-4.22
2017,4,4,-8.08
2017,4,5,-10.44
2017,4,6,-15.46
2017,4,7,-11.38
2017,4,8,-9.73
2017,4,9,-7.315
2017,4,10,-5.673
2017,4,11,-3.982
2017,4,12,-3.585
2017,4,13,-1.249
2017,4,14,-7.36
2017,4,15,-1.687
2017,4,16,5.004
2017,4,17,3.722
2017,4,18,-1.164
2017,4,19,-0.316
2017,4,20,-1.892
2017,4,21,-1.543
2017,4,22,-2.83
2017,4,23,-5.587
2017,4,24,-2.352
2017,4,25,3.852
2017,4,26,2.691
2017,4,27,-1.381
2017,4,28,-6.359
2017,4,29,-11.0
2017,4,30,-11.78
2017,5,1,-8.55
