
Date,Average Temperature
9/11/2015,9.0402
9/12/2015,7.377311355
9/13/2015,1.297128571
9/14/2015,-0.583065217
9/15/2015,1.508912409
9/16/2015,4.58378022
9/17/2015,5.79935
9/18/2015,3.9019
9/19/2015,-3.207148014
9/20/2015,-1.58894052
9/21/2015,1.881191489
9/22/2015,2.243390845
9/23/2015,2.083793478
9/24/2015,1.009878676
9/25/2015,-1.20047331
9/26/2015,-0.5006875
9/27/2015,-2.437665468
9/28/2015,-4.96096337
9/29/2015,2.341810714
9/30/2015,3.900303571
10/1/2015,0.673833333
10/2/2015,2.073170909
10/3/2015,1.371188406
10/4/2015,2.078856115
10/5/2015,1.83952669
10/6/2015,4.081168498
10/7/2015,5.703566308
10/8/2015,6.516160714
10/9/2015,7.846771218
10/10/2015,7.307602941
10/11/2015,4.216681159
10/12/2015,-0.457437956
10/13/2015,3.79032967
10/14/2015,-0.579708633
10/15/2015,0.675032967
10/16/2015,1.963454212
10/17/2015,0.19565
10/18/2015,-3.684654676
10/19/2015,-5.947218638
10/20/2015,-3.370192171
10/21/2015,-1.573814947
10/22/2015,-5.904481752
10/23/2015,-10.07002941
10/24/2015,-6.183630435
10/25/2015,-4.376696429
10/26/2015,-1.770967033
10/27/2015,0.041374545
10/28/2015,2.042946237
10/29/2015,5.29142029
10/30/2015,5.062067857
10/31/2015,4.310483636
11/1/2015,-4.315658273
11/2/2015,-10.07927402
11/3/2015,-7.290265683
11/4/2015,-7.960943662
11/5/2015,-9.821781818
11/6/2015,-7.332657143
11/7/2015,-7.286109091
11/8/2015,-8.014112319
11/9/2015,-5.781433213
11/10/2015,-3.192679856
11/11/2015,-2.329684783
11/12/2015,-1.623946619
11/13/2015,-7.114957447
11/14/2015,-6.902741007
11/15/2015,-9.63768
11/16/2015,-10.70464982
11/17/2015,-6.732507353
11/18/2015,-3.394702206
11/19/2015,-2.497622302
11/20/2015,-5.074874101
11/21/2015,-4.237787004
11/22/2015,-5.985254417
11/23/2015,-2.111767025
11/24/2015,-1.856085106
11/25/2015,-2.446573477
11/26/2015,-1.588076087
11/27/2015,-1.939387681
11/28/2015,-2.469472924
11/29/2015,-4.136627737
11/30/2015,-2.782188406
12/1/2015,-3.384014706
12/2/2015,-4.912576779
12/3/2015,-4.52232491
12/4/2015,-2.172694245
12/5/2015,-3.677525547
12/6/2015,-9.247647687
12/7/2015,-6.336301471
12/8/2015,-5.204033088
12/9/2015,-9.279707143
12/10/2015,-18.90839416
12/11/2015,-19.3813879
12/12/2015,-14.29937319
12/13/2015,-12.3498231
12/14/2015,-12.19021978
12/15/2015,-9.116153571
12/16/2015,-8.010177936
12/17/2015,-10.94008511
12/18/2015,-12.92212996
12/19/2015,-13.97774194
12/20/2015,-16.82664207
12/21/2015,-11.89837943
12/22/2015,-13.34741135
12/23/2015,-13.13734926
12/24/2015,-6.544859712
12/25/2015,-9.987857143
12/26/2015,-11.21934783
12/27/2015,-11.25210714
12/28/2015,-7.894356618
12/29/2015,-9.284772894
12/30/2015,-8.773398524
12/31/2015,-4.030099291
1/1/2016,-6.391028571
1/2/2016,-5.768405904
1/3/2016,-4.585361011
1/4/2016,-5.232113139
1/5/2016,-9.146758621
1/6/2016,-6.693819788
1/7/2016,-6.192769784
1/8/2016,-11.69961733
1/9/2016,-5.351992754
1/10/2016,-1.734286765
1/11/2016,-5.689698182
1/12/2016,-9.066251773
1/13/2016,-7.263538745
1/14/2016,-7.976773723
